company_name,rank,state,county,amount_owed,total_balance,tax_type,warrant_id,filed_date,source,source_url,industry,priority_score,sp500_match,scraped_at
VALLEY AUTO REPAIR LLC,22,NY,DUTCHESS,2622485.2,2659201.08,Sales and Use,E052526228W002,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.453100
"F.A. USA GROUP, INC.",23,NY,RICHMOND,2583913.8,2583913.8,Sales and Use,E059891928W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453111
SMALLBONE INC.,24,NY,NEW YORK,2573179.59,2577561.79,Sales and Use,E035274935W004,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453119
COMPLETE RENOVATION & CONTRACTING CORP,25,NY,BRONX,2527228.66,2527228.66,Sales and Use,E050014089W002,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.453128
"JAM JUICE VAPE SHOP, INC.",28,NY,QUEENS,116000.0,2102118.84,Sales and Use,E045503757W003,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463833
"ROTAVELE ELEVATOR, INC. TRADING AS CONTRACTOR SERVICES",29,NY,QUEENS,2057947.12,2057947.12,Sales and Use,E020744397W002,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463848
"DANBERG ENTERPRISES, INC. TRADING AS ARSENAL CITY TAVERN",30,NY,ALBANY,1936985.38,2046374.0,Sales and Use,E047747291W002,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463858
"AGL INDUSTRIES, INC.",31,NY,QUEENS,139981.44,2034028.24,Corporation,E044037545W002,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463867
S & J INDUSTRIAL CORP.,32,NY,QUEENS,1356.51,2019912.5,Corporation,E044852728W011,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.463877
S & J INDUSTRIAL CORP.,32,NY,QUEENS,1303487.67,2019912.5,Withholding,E044852728W001,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474884
CHIMICHURRI CHICKEN CORP. T/A CHIMICHURRI CHARCOAL CHICKEN,33,NY,NASSAU,12522.54,1960846.56,Corporation,E048250435W009,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474901
ROMA FLI CORP.,34,NY,SUFFOLK,2874.36,1871915.14,Corporation,E036281932W003,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.474912
"EXECUTIVE AUTO REPAIR II, INC.",35,NY,NASSAU,3924.09,1682435.58,Corporation,E044751542W002,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474921
AVERY AUTO TRADING AS TRIANGLE COLLISION,36,NY,KINGS,1511948.97,1511948.97,Sales and Use,E061421616W001,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474930
NEW HORIZON AUTOMOTIVE INC,37,NY,KINGS,237121.1,1481907.57,Sales and Use,E023536581W016,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.474938
