rank,company_name,tax_type,amount,balance,filed_date,county,state,source,source_url,scraped_at
32,S & J INDUSTRIAL CORP.,Withholding,1303487.67,2019912.5,Mar,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153085
34,ROMA FLI CORP.,Corporation,2874.36,1871915.14,Apr,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153111
35,"EXECUTIVE AUTO REPAIR II, INC.",Corporation,3924.09,1682435.58,May,NASSAU,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153131
36,AVERY AUTO TRADING AS TRIANGLE COLLISION,Sales and,1511948.97,1511948.97,Nov,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153153
37,NEW HORIZON AUTOMOTIVE INC,Sales and,237121.1,1481907.57,Feb,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153172
39,ROMA NEW YORK INC. TRADING AS ROMA FURNITURE,Sales and,1454651.1,1454651.1,Apr,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153194
40,BABYBJORN INC.,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153199
41,"GIBRALTAR CONTRACTING, INC.",Corporation,2119.5,1444591.54,Mar,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153218
41,"GIBRALTAR CONTRACTING, INC.",Withholding,263857.81,1444591.54,Aug,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.165581
42,"ANIMAL KINGDOM BREWSTER, INC. TRADING AS ANIMAL KINGDOM USA",Corporation,608.5,1397953.39,Dec,PUTNAM,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.165618
42,"ANIMAL KINGDOM BREWSTER, INC.",Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.176298
44,ALTER NATIVE RETAIL LLC,Sales and,1193961.44,1338221.54,May,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.176327
45,"GRIFFIN SECURITY SERVICES, INC.",Corporation,2632.13,1292578.69,Mar,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.176347
47,INDIGO WILLIAMSBURG HM LLC TRADING AS INDIGO HOTEL WILLIAMSBURG BROOKLYN,Sales and,341431.79,1257079.95,Dec,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186354
48,"ARTEX SYSTEMS, INC.",Corporation,37539.62,1230035.55,Oct,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186375
49,INS CONSTRUCTION CORP,Corporation,1222561.44,1222561.44,May,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186398
50,ITRADENETWORK INC TRADING AS ITRADE NETWORK,Sales and,1208629.68,1208629.68,Jul,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186419
51,"L'ADRESSE, LLC",Sales and,487565.97,1206444.54,Aug,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186437
52,"SWIFTY'S RESTAURANT AND PUB, INC. TRADING AS SWIFTY'S RESTAURANT & PUB",Sales and,431707.14,1206009.67,Feb,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.186460
53,CABA DESIGN CORP,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.197427
55,"PITA GRILL MURRAY HILL, LLC",Sales and,7126.5,1148076.38,Nov,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.197456
58,RHCG SAFETY CORP.,Corporation,106.42,1134039.95,Aug,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.197479
59,TRISTATE AUTO SERVICE CENTER INC,Sales and,1094499.54,1094499.54,Apr,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.197502
61,STANDARD AMUSEMENTS LLC,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208250
62,CORNHILL LIQUORS LLC,Sales and,27432.24,1074663.88,Sep,MONROE,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208276
63,SOUNDVIEW PETROLEUM INC.,Sales and,104949.79,1049030.35,Aug,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208300
64,"CPV STATEN ISLAND, INC. TRADING AS MONTALBANOS OF ROSEBANK",Sales and,1045903.63,1045903.63,May,RICHMOND,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208324
65,BAR LIFE INC.,Sales and,97269.94,1005750.41,Oct,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.208342
